DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos Prováveis por Macrorreg.Saúde/Munic.de notif e Mês notificação
Período:2017
"Macrorreg.Saúde/Munic.de notif";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
".....  MOEMA";-;-;-;-;-;-;-;-;-;-;-;2;2
".....  BOM DESPACHO";11;14;6;10;6;5;1;1;1;1;2;1;59
".....  BAMBUI";-;-;3;-;2;-;-;-;-;2;-;-;7
".....  DORES DO INDAIA";-;2;1;1;1;-;-;1;3;1;-;2;12
".....  SANTO ANTONIO DO MONTE";3;-;-;-;-;-;-;-;-;-;-;-;3
".....  ITAGUARA";1;-;-;-;2;-;-;-;-;-;-;-;3
".....  ITAUNA";5;1;-;-;1;-;1;-;3;1;-;-;12
".....  IGARATINGA";7;1;2;1;-;-;-;-;-;-;-;2;13
".....  SERRA DA SAUDADE";-;-;-;-;-;-;-;-;-;1;1;-;2
".....  IGUATAMA";-;-;1;1;-;-;-;-;-;-;-;1;3
".....  ITAPECERICA";2;3;2;-;-;-;-;-;6;3;2;2;20
".....  LUZ";-;1;-;-;2;-;-;-;-;-;-;-;3
".....  NOVA SERRANA";2;-;5;6;3;-;-;-;-;1;-;-;17
".....  PARA DE MINAS";59;21;4;2;2;2;-;4;6;8;1;4;113
".....  OLIVEIRA";-;-;-;-;-;-;-;-;1;4;2;-;7
".....  CARMOPOLIS DE MINAS";1;-;5;-;-;-;-;-;-;2;-;-;8
".....  PERDIGAO";5;4;3;1;4;1;1;1;-;5;-;-;25
".....  PITANGUI";-;-;-;-;-;-;-;1;1;-;2;2;6
".....  CAMPO BELO";-;-;-;-;-;-;-;1;-;3;1;1;6
".....  CRISTAIS";-;-;-;-;-;1;-;-;-;-;-;-;1
".....  CLAUDIO";2;1;1;1;1;-;-;-;-;-;-;-;6
".....  DIVINOPOLIS";2;6;2;5;5;3;4;3;10;20;11;14;85
".....  ESTRELA DO INDAIA";-;-;-;-;-;-;-;2;5;13;7;5;32
".....  LAGOA DA PRATA";3;1;2;1;1;-;-;-;-;-;-;-;8
"3106 LESTE";501;1187;1027;190;120;21;13;7;10;12;29;73;3190
".....  MANTENA";-;-;2;2;1;1;-;1;-;1;-;1;9
".....  COROACI";-;-;1;-;1;1;-;1;1;-;-;-;5
".....  GONZAGA";1;7;6;1;-;-;-;-;-;-;-;-;15
".....  SAO JOSE DA SAFIRA";1;10;7;1;3;-;2;-;-;-;1;1;26
".....  TARUMIRIM";12;13;2;10;2;-;1;-;-;-;-;-;40
".....  TUMIRITINGA";-;-;8;5;6;8;-;-;-;-;-;-;27
".....  ITUETA";-;-;-;-;1;-;-;-;-;-;-;-;1
".....  SANTA MARIA DO SUACUI";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  CENTRAL DE MINAS";1;5;7;-;1;-;-;-;-;1;1;-;16
".....  JAMPRUCA";-;1;5;2;3;-;-;-;-;-;-;-;11
".....  DIVINO DAS LARANJEIRAS";47;23;22;18;3;-;-;-;3;1;-;-;117
".....  GALILEIA";4;9;1;-;-;-;-;-;-;-;-;-;14
".....  SARDOA";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  SAO GERALDO DO BAIXIO";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  AGUA BOA";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  ENGENHEIRO CALDAS";-;-;23;1;-;-;1;-;-;3;3;-;31
".....  AIMORES";9;23;16;3;-;-;-;1;-;-;-;-;52
".....  CAPITAO ANDRADE";-;-;-;1;-;-;-;-;-;-;-;1;2
".....  CONSELHEIRO PENA";52;14;4;1;8;-;1;1;-;1;2;43;127
".....  GOVERNADOR VALADARES";333;1072;888;125;86;8;8;2;5;4;21;24;2576
".....  CUPARAQUE";3;1;7;4;1;-;-;-;-;-;-;-;16
".....  ALVARENGA";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  FERNANDES TOURINHO";1;1;1;-;-;-;-;-;-;-;-;-;3
".....  ITABIRINHA";1;1;11;6;1;-;-;-;-;-;-;-;20
".....  ITANHOMI";-;-;5;3;2;-;-;-;-;-;-;-;10
".....  MATHIAS LOBATO";-;-;2;-;-;-;-;-;-;-;-;-;2
".....  CANTAGALO";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  RESPLENDOR";32;7;5;6;1;3;-;1;1;1;1;2;60
".....  FREI INOCENCIO";1;-;3;-;-;-;-;-;-;-;-;-;4
"3107 SUDESTE";172;88;92;59;48;8;8;7;29;43;65;164;783
".....  VISCONDE DO RIO BRANCO";7;2;3;-;8;-;-;1;1;5;7;5;39
".....  LEOPOLDINA";-;-;1;1;-;-;1;-;1;1;1;4;10
".....  LIBERDADE";-;-;-;2;-;-;-;-;-;-;-;-;2
".....  ASTOLFO DUTRA";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  JUIZ DE FORA";24;7;21;6;4;1;1;3;15;9;5;5;101
".....  MIRAI";-;-;-;-;-;-;-;-;1;-;1;1;3
".....  MAR DE ESPANHA";-;1;-;-;-;-;1;-;-;1;-;-;3
".....  BRAS PIRES";-;-;-;-;-;-;-;-;-;-;-;2;2
".....  RECREIO";-;-;-;1;-;-;-;-;1;5;3;3;13
".....  CARANGOLA";2;-;-;-;-;-;-;-;1;1;-;-;4
".....  CHACARA";2;2;3;-;-;-;-;-;-;-;-;1;8
".....  RIO POMBA";18;9;-;1;2;-;-;1;1;-;-;3;35
".....  DIVINESIA";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  DONA EUSEBIA";1;-;-;-;-;-;-;-;-;-;-;1;2
".....  SAO FRANCISCO DO GLORIA";1;-;-;1;-;-;-;-;-;-;-;-;2
".....  GUARARA";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  PIRAUBA";3;2;-;-;-;-;-;-;-;1;1;-;7
".....  ERVALIA";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  ANDRELANDIA";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  UBA";40;24;21;24;19;3;2;-;2;6;23;71;235
".....  ROCHEDO DE MINAS";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  PRESIDENTE BERNARDES";-;-;-;-;-;-;-;-;-;-;-;2;2
".....  SANTANA DE CATAGUASES";-;-;-;-;-;-;-;-;-;1;-;-;1
".....  RODEIRO";3;-;-;-;-;-;-;-;-;-;-;-;3
".....  ALEM PARAIBA";2;-;-;-;-;-;-;-;-;-;-;1;3
".....  SAO GERALDO";3;-;-;-;-;-;-;-;-;1;1;-;5
".....  TOCANTINS";11;1;2;-;3;1;-;-;-;-;-;6;24
".....  GUIRICEMA";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  MURIAE";30;18;23;13;6;1;1;1;5;1;13;16;128
".....  LIMA DUARTE";-;1;-;-;-;-;-;-;-;-;-;2;3
".....  RIO NOVO";3;10;5;3;-;-;-;-;-;-;-;9;30
".....  SILVEIRANIA";1;-;-;1;-;-;-;-;-;-;-;-;2
".....  SANTOS DUMONT";1;1;-;1;-;-;-;-;-;-;-;-;3
".....  BOM JARDIM DE MINAS";-;-;-;-;-;-;-;-;-;3;-;-;3
".....  CATAGUASES";4;-;1;-;-;-;-;-;-;4;5;5;19
".....  ESPERA FELIZ";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  EUGENOPOLIS";1;-;-;2;2;-;-;-;-;-;-;2;7
".....  PIAU";-;-;3;-;-;-;-;-;-;-;-;1;4
".....  GOIANA";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  TABULEIRO";3;1;-;-;-;-;-;-;1;-;-;-;5
".....  SENADOR FIRMINO";5;-;-;-;-;-;-;-;-;2;-;2;9
".....  GUIDOVAL";4;-;-;-;-;-;-;-;-;-;-;1;5
".....  SAO JOAO NEPOMUCENO";1;8;3;2;4;2;2;1;-;2;3;17;45
".....  FERVEDOURO";-;-;2;-;-;-;-;-;-;-;-;-;2
".....  GUARANI";-;-;2;-;-;-;-;-;-;-;-;3;5
"3108 NORTE";183;280;583;728;569;224;37;36;34;25;31;71;2801
".....  LUISLANDIA";5;3;6;4;2;7;2;-;-;-;-;-;29
".....  LAGOA DOS PATOS";-;-;-;1;-;-;2;-;-;-;-;-;3
".....  CURRAL DE DENTRO";3;3;-;2;-;1;-;-;-;-;-;-;9
".....  IBIAI";-;-;-;-;-;-;-;-;1;-;-;-;1
".....  JAPONVAR";-;-;7;23;17;24;4;1;-;1;-;-;77
".....  MAMONAS";-;-;-;-;1;-;-;-;-;1;-;-;2
".....  PADRE CARVALHO";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  BOCAIUVA";1;-;7;15;31;14;1;3;4;5;3;15;99
".....  SAO JOAO DA PONTE";-;-;6;5;2;2;-;2;1;3;-;3;24
".....  SANTA FE DE MINAS";6;-;-;-;-;-;-;-;-;-;-;-;6
".....  FRANCISCO SA";1;1;4;9;-;3;-;-;3;3;1;-;25
".....  RIO PARDO DE MINAS";-;-;-;-;-;-;-;-;-;-;1;1;2
".....  CAMPO AZUL";-;-;9;3;1;2;4;-;-;-;3;2;24
".....  IBIRACATU";33;8;28;45;17;9;1;-;-;-;-;-;141
".....  JANAUBA";13;22;21;44;38;23;3;3;2;4;11;26;210
".....  MIRABELA";-;-;-;-;-;-;-;1;-;-;-;-;1
".....  MONTALVANIA";-;-;-;4;9;3;1;9;2;-;-;1;29
".....  JANUARIA";1;1;4;3;2;2;1;1;-;-;-;1;16
".....  ESPINOSA";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  CRISTALIA";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  PAI PEDRO";-;-;2;1;1;-;-;-;-;-;-;-;4
".....  CAPITAO ENEAS";-;-;-;-;-;-;-;-;-;1;-;-;1
".....  LASSANCE";1;-;1;1;-;-;-;-;-;-;-;-;3
".....  SALINAS";1;-;-;-;1;-;-;-;-;-;-;-;2
".....  PORTEIRINHA";58;96;161;98;63;13;2;-;-;-;2;3;496
".....  MONTE AZUL";-;-;-;-;1;-;-;-;-;1;-;-;2
".....  BRASILIA DE MINAS";15;118;261;117;41;11;-;-;-;-;-;1;564
".....  BURITIZEIRO";-;7;2;2;18;-;1;-;1;-;-;-;31
".....  PEDRAS DE MARIA DA CRUZ";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  NOVA PORTEIRINHA";-;-;2;-;-;-;-;-;-;-;-;-;2
".....  PINTOPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  GLAUCILANDIA";-;2;5;-;-;-;-;-;1;-;-;-;8
".....  GUARACIAMA";2;2;-;-;-;-;-;-;-;-;-;1;5
".....  ICARAI DE MINAS";-;-;-;-;-;-;-;-;1;-;-;1;2
".....  SAO JOAO DA LAGOA";2;-;-;1;-;-;-;-;-;-;1;1;5
".....  TAIOBEIRAS";-;1;-;2;1;-;-;-;-;-;1;-;5
".....  INDAIABIRA";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  ITACARAMBI";-;-;-;-;3;-;-;-;-;-;-;-;3
".....  JAIBA";1;-;2;-;-;-;-;-;-;-;-;-;3
".....  JEQUITAI";-;-;-;5;1;-;-;-;-;-;-;-;6
".....  SAO ROMAO";1;1;1;2;2;-;-;-;-;-;-;-;7
".....  LONTRA";-;-;-;-;2;1;-;-;-;-;-;-;3
".....  VARZEA DA PALMA";3;1;-;2;1;2;-;-;-;2;-;-;11
".....  VARZELANDIA";1;-;21;296;179;25;4;3;-;-;-;-;529
".....  VERDELANDIA";-;-;-;-;1;-;-;-;-;-;-;1;2
".....  JOAQUIM FELICIO";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  MATIAS CARDOSO";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  MANGA";-;1;5;-;-;-;-;-;1;-;-;-;7
".....  MONTES CLAROS";21;7;17;20;21;5;-;1;3;-;6;4;105
".....  MATO VERDE";-;1;2;1;3;23;-;1;-;-;1;-;32
".....  NINHEIRA";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  BOTUMIRIM";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  PIRAPORA";-;1;3;2;5;3;1;-;-;-;-;-;15
".....  CATUTI";-;-;-;-;-;1;3;1;3;2;-;8;18
".....  RIACHO DOS MACHADOS";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  CORACAO DE JESUS";7;-;-;-;-;1;-;-;-;-;-;-;8
".....  CONEGO MARINHO";5;2;-;1;-;-;-;-;-;-;-;-;8
".....  SAO FRANCISCO";-;-;4;17;105;49;7;10;11;2;-;-;205
"3109 NOROESTE";78;82;133;168;282;104;63;64;45;37;39;26;1121
".....  LAGOA GRANDE";-;-;1;-;-;1;2;-;-;-;-;-;4
".....  BRASILANDIA DE MINAS";-;-;-;-;1;-;3;-;-;-;-;-;4
".....  CHAPADA GAUCHA";-;2;-;-;-;1;-;-;1;-;1;2;7
".....  PRESIDENTE OLEGARIO";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  SANTA ROSA DA SERRA";-;-;2;-;-;-;-;-;-;2;-;-;4
".....  ARINOS";1;3;3;1;2;2;19;7;4;-;1;-;43
".....  VAZANTE";-;1;-;-;-;-;-;1;-;-;2;2;6
".....  RIACHINHO";-;1;9;10;49;4;-;-;-;-;-;1;74
".....  SAO GOTARDO";-;-;2;1;1;2;-;-;-;-;-;-;6
".....  SERRA DO SALITRE";-;-;-;-;1;-;-;-;-;-;-;-;1
".....  URUANA DE MINAS";2;1;-;-;2;1;1;2;-;1;-;-;10
".....  UNAI";15;11;7;9;56;32;15;30;18;15;4;16;228
".....  VARJAO DE MINAS";1;1;1;-;-;-;-;-;-;-;-;-;3
".....  NATALANDIA";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  CABECEIRA GRANDE";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  GUIMARANIA";1;-;5;4;-;4;-;-;-;-;-;-;14
".....  JOAO PINHEIRO";-;1;1;-;1;-;1;-;1;-;-;-;5
".....  PARACATU";8;18;29;19;32;3;5;13;5;7;4;1;144
".....  FORMOSO";-;-;-;1;1;-;-;-;-;-;-;-;2
".....  LAGOA FORMOSA";1;1;2;3;3;-;-;-;-;-;-;-;10
".....  BURITIS";3;-;1;5;1;1;-;-;1;1;1;-;14
".....  LAGAMAR";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  RIO PARANAIBA";2;2;-;-;-;-;-;-;2;1;-;-;7
".....  SAO GONCALO DO ABAETE";-;1;1;-;-;1;-;-;-;-;-;1;4
".....  TIROS";-;-;1;-;1;-;-;-;-;-;-;-;2
".....  BONFINOPOLIS DE MINAS";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  PATOS DE MINAS";43;37;68;112;129;52;17;11;13;10;26;3;521
".....  CARMO DO PARANAIBA";-;1;-;-;2;-;-;-;-;-;-;-;3
"3110 LESTE DO SUL";25;10;15;10;5;12;2;2;3;2;3;10;99
".....  ABRE CAMPO";-;-;-;-;-;-;-;-;1;-;-;-;1
".....  ACAIACA";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  SANTA MARGARIDA";1;1;-;-;-;1;-;-;-;-;-;-;3
".....  CAJURI";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  PONTE NOVA";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  VICOSA";2;-;2;2;-;-;-;-;1;1;-;1;9
".....  TAPARUBA";-;-;-;-;-;-;1;-;-;-;-;-;1
".....  IPANEMA";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  JEQUERI";-;-;-;1;-;-;-;-;1;-;-;-;2
".....  LAJINHA";-;1;-;-;-;-;-;-;-;-;-;1;2
".....  ALVINOPOLIS";-;1;1;1;-;-;-;-;-;1;1;1;6
".....  MUTUM";9;4;6;5;5;11;-;1;-;-;-;1;42
".....  MATIPO";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  MANHUACU";1;3;3;-;-;-;1;-;-;-;-;-;8
".....  RIO DOCE";-;-;-;-;-;-;-;1;-;-;-;-;1
".....  RAUL SOARES";1;-;-;-;-;-;-;-;-;-;-;1;2
".....  TEIXEIRAS";2;-;-;-;-;-;-;-;-;-;-;-;2
".....  URUCANIA";-;-;-;-;-;-;-;-;-;-;-;3;3
".....  MANHUMIRIM";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  SAO PEDRO DOS FERROS";1;-;1;-;-;-;-;-;-;-;-;-;2
".....  CHALE";2;-;1;-;-;-;-;-;-;-;-;-;3
".....  RIO CASCA";5;-;-;1;-;-;-;-;-;-;-;-;6
"3111 NORDESTE";1330;577;710;350;210;113;31;23;20;20;23;49;3456
".....  CAMPANARIO";3;8;8;4;5;1;1;3;3;-;-;2;38
".....  PESCADOR";4;4;5;6;1;-;1;-;-;1;-;1;23
".....  SANTA MARIA DO SALTO";-;-;-;-;-;-;1;-;-;-;-;-;1
".....  ALMENARA";94;41;-;-;-;-;-;-;-;-;-;-;135
".....  FRANCISCOPOLIS";-;1;2;-;-;1;-;-;-;1;-;-;5
".....  FRONTEIRA DOS VALES";2;1;1;1;-;-;-;-;-;-;-;-;5
".....  FELISBURGO";-;1;2;1;-;-;-;-;-;-;-;-;4
".....  JOAIMA";24;12;5;-;-;-;-;-;-;-;-;-;41
".....  SERRA DOS AIMORES";3;1;4;2;2;2;-;-;-;-;1;2;17
".....  SETUBINHA";42;47;-;-;-;-;-;-;-;-;1;-;90
".....  MATA VERDE";-;-;-;-;-;1;-;-;-;-;-;-;1
".....  MACHACALIS";-;1;-;2;3;1;-;-;-;-;-;-;7
".....  MALACACHETA";3;2;-;-;-;-;-;-;1;-;-;-;6
".....  DIVISA ALEGRE";-;-;-;2;-;-;-;-;-;-;-;-;2
".....  NANUQUE";32;24;37;24;21;6;-;-;1;2;-;2;149
".....  TEOFILO OTONI";638;274;183;188;92;36;4;10;6;13;11;8;1463
".....  NOVO CRUZEIRO";15;2;2;-;-;-;-;-;-;-;-;-;19
".....  SANTO ANTONIO DO JACINTO";2;2;4;10;3;3;1;-;-;-;-;-;25
".....  UMBURATIBA";-;1;1;-;-;-;-;-;-;-;-;-;2
".....  AGUAS FORMOSAS";-;1;6;3;4;2;1;-;-;-;-;3;20
